Timestamp start: 1747265176814
Timestamp end: 1747266077065

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      329.7   425.1    54.7   106.2   123.9   230.5   281.8   311.8   336.3   371.4   443.9  1284.4  1961.2  4579.2  7901.0 148302.8   148458
read      216.7   185.1    50.7    84.7    94.7   190.6   244.3   273.3   294.1   317.9   349.2   398.1   539.6  2800.1  5732.5  66307.0    66114
read      236.3   249.3    50.7    82.7    93.2   204.3   261.7   292.8   313.7   337.0   365.5   408.5   869.1  3750.6  7619.4  49106.4    49261
read      254.4   301.3    54.7    91.9   103.5   186.4   234.1   264.4   287.1   314.8   354.8   497.0  1602.2  3291.9  7248.6 133227.2   133049
read      191.9   103.3    50.7    86.0    95.5   168.1   215.9   245.1   266.8   291.2   319.9   363.0   456.7   798.3  2558.6 106607.2   106628
read      194.0    76.0    54.7    89.4   102.8   191.1   221.0   236.5   249.1   263.7   282.1   310.5   370.3   601.9  2312.2  23443.2    23498
read      201.6   133.4    50.7    85.1    94.9   170.2   221.3   253.5   277.5   305.9   342.2   402.6   556.3  1564.9  3092.8 103466.0   103564
read      197.4   104.9    54.7    96.0   107.5   179.3   217.5   240.3   258.0   278.9   305.9   345.5   442.3  1212.9  3088.9 161874.0   161774
read      194.5    78.8    50.7    88.9   100.9   191.9   225.5   242.5   254.6   269.6   288.3   315.5   373.8   502.5  1463.3  39047.2    39037
read      322.6   377.5    54.7   110.8   128.7   229.3   273.9   301.3   323.3   356.2   421.3  1306.2  1705.7  3592.9  7633.5 163609.2   163622
read      181.6    91.4    46.9    85.7    95.3   161.1   201.4   227.2   246.3   269.3   297.2   337.6   417.6   756.3  1614.1 132414.8   132405
read      183.4   101.5    50.7    86.0    95.6   161.8   202.6   228.7   248.1   271.2   299.6   340.7   429.0   797.1  3148.4 131494.8   131596
read      188.6    85.0    54.7    96.0   107.3   173.3   207.8   228.5   244.2   263.6   288.2   324.1   402.7   832.4  2168.0 174578.0   174543
read      194.4   103.6    50.7    86.5    96.1   174.7   224.7   252.3   271.8   293.4   319.0   356.2   426.3   610.9  3599.8  90474.8    90567
read      193.9   156.4    50.7    87.1    96.8   169.4   214.5   241.8   262.5   286.5   315.5   359.1   465.0  1136.9  7434.0 116366.2   116582
read      171.8    74.5    54.7    89.5   102.4   168.0   188.4   200.3   209.6   220.2   233.9   259.8   327.7   826.0  1721.4  13923.2    13888
